concept,concept_subtype,mismatch_concept,mismatch_subtype,mismatch_mode
towel_rack,#N/A,lobster,"animal, food",cross_subtype
toy,toy,sandbox,toy,within_subtype
tractor,vehicle,lock,Verb,cross_subtype
traffic_light,#N/A,towel_rack,#N/A,within_subtype
trailer,"container, vehicle",locker,container,cross_subtype
train,vehicle,trolley,vehicle,within_subtype
train_car,vehicle,locket,container,cross_subtype
train_set,toy,dreidel,toy,within_subtype
trampoline,sports equipment,log,Noun,cross_subtype
trap,Noun,pendulum,Noun,within_subtype
trapdoor,Noun,loincloth,clothing,cross_subtype
trashcan,container,crate,container,within_subtype
tray,container,lollipop,food,cross_subtype
treadmill,"electronic device, sports equipment",loom,Noun,within_subtype
treasure,Noun,loveseat,furniture,cross_subtype
tree,plant,grapevine,plant,within_subtype
tree_trunk,#N/A,luggage,container,cross_subtype
triangle,musical instrument,bagpipe,musical instrument,within_subtype
tricycle,vehicle,lumber,Noun,cross_subtype
trident,"weapon, tool",axe,"weapon, tool",within_subtype
trigger,Noun,lunchbox,container,cross_subtype
tripod,Noun,hairnet,Noun,within_subtype
trolley,vehicle,macadamia,food,cross_subtype
trombone,musical instrument,bell,musical instrument,within_subtype
trophy,Noun,macaroni,food,cross_subtype
trough,container,cassette,container,within_subtype
trowel,tool,machete,weapon,cross_subtype
truck,vehicle,trolley,vehicle,within_subtype
trumpet,musical instrument,machine_gun,weapon,cross_subtype
trunk,container,mailbox,container,within_subtype
tuba,musical instrument,maggot,animal,cross_subtype
tube_top,clothing,sweater,clothing,within_subtype
tugboat,vehicle,magnet,tool,cross_subtype
tulip,plant,daisy,plant,within_subtype
tumbleweed,plant,magnifier,tool,cross_subtype
tuning_fork,tool,magnet,tool,within_subtype
tupperware,container,magnifying_glass,tool,cross_subtype
turban,clothing,coverall,clothing,within_subtype
turbine,Noun,mailbox,container,cross_subtype
turf,Noun,medal,Noun,within_subtype
turkey,"animal, bird, food",makeup,Noun,cross_subtype
turnstile,Noun,shell3,Noun,within_subtype
turntable,electronic device,mallet,tool,cross_subtype
turtle,animal,rat,animal,within_subtype
turtleneck,clothing,man,Noun,cross_subtype
tuxedo,clothing,kimono,clothing,within_subtype
tweezers,"medical equipment, tool",manatee,animal,cross_subtype
twig,Noun,rosary,Noun,within_subtype
typewriter,Noun,mandolin,musical instrument,cross_subtype
ukulele,musical instrument,banjo,musical instrument,within_subtype
umbrella,Noun,mango,"food, fruit",cross_subtype
undershirt,clothing,nightshirt,clothing,within_subtype
underwear,clothing,manhole,Noun,cross_subtype
unicycle,vehicle,go-kart,vehicle,within_subtype
uniform,clothing,mannequin,Noun,cross_subtype
urinal,Noun,mail,Noun,within_subtype
urn,container,mantle,Noun,cross_subtype
vacuum,"electronic device, tool",jackhammer,"electronic device, tool",within_subtype
valve,Noun,maple_syrup,food,cross_subtype
van,vehicle,canoe,vehicle,within_subtype
vase,"home decor, container",marble,toy,cross_subtype
vegetable,"food, vegetable",celery,"food, vegetable",within_subtype
veil,clothing,margarita,drink,cross_subtype
velcro,#N/A,playing_card,#N/A,within_subtype
vending_machine,electronic device,marijuana,plant,cross_subtype
vent,Noun,binoculars,Noun,within_subtype
vest,clothing,marker,tool,cross_subtype
vial,"medical equipment, container",syringe,"medical equipment, container",within_subtype
videocassette,container,marmalade,food,cross_subtype
videogame,#N/A,pine_needle,#N/A,within_subtype
viewfinder,Noun,marshmallow,food,cross_subtype
violin,musical instrument,french_horn,musical instrument,within_subtype
vise,tool,mascara,Noun,cross_subtype
visor,"clothing, clothing accessory",bandanna,"clothing, clothing accessory",within_subtype
volleyball,sports equipment,mashed_potato,food,cross_subtype
vulture,"animal, bird",chick,"animal, bird",within_subtype
wafer,food,mask,clothing,cross_subtype
waffle,food,calamari,food,within_subtype
waffle_iron,"electronic device, kitchen appliance",mast,Noun,cross_subtype
wagon,vehicle,airboat,vehicle,within_subtype
walker1,medical equipment,mat,Noun,cross_subtype
walker2,Name,peg,Name,within_subtype
wall,Noun,match,tool,cross_subtype
wallet,container,duffel_bag,container,within_subtype
wallpaper,home decor,matchbox,container,cross_subtype
walnut,food,cracker,food,within_subtype
walrus,animal,mattress,furniture,cross_subtype
wand,Noun,turnstile,Noun,within_subtype
warthog,animal,measuring_cup,"container, kitchen tool",cross_subtype
washboard,Noun,telescope,Noun,within_subtype
washcloth,Noun,meat,food,cross_subtype
washing_machine,electronic device,polygraph,electronic device,within_subtype
wasp,"animal, insect",meat_grinder,#N/A,cross_subtype
watch,clothing accessory,cufflink,clothing accessory,within_subtype
water_bottle,container,meatball,food,cross_subtype
water_cooler,#N/A,aluminum_foil,#N/A,within_subtype
water_filter,kitchen appliance,meatloaf,food,cross_subtype
water_fountain,#N/A,cornhusk,#N/A,within_subtype
water_heater,"electronic device, container",medal,Noun,cross_subtype
watering_can,"container, tool",dustpan,"container, tool",within_subtype
watermelon,"food, fruit",meerkat,animal,cross_subtype
waterwheel,Noun,keyhole,Noun,within_subtype
wax,Noun,melon,"food, fruit",cross_subtype
wax_paper,#N/A,nail_polish,#N/A,within_subtype
weasel,animal,memory_stick,#N/A,cross_subtype
weather_vane,home decor,pinecone,home decor,within_subtype
webcam,electronic device,metal_detector,"electronic device, tool",cross_subtype
wedding_cake,"food, dessert",cheesecake,"food, dessert",within_subtype
wedge,tool,metronome,Noun,cross_subtype
weed,plant,ivy,plant,within_subtype
wetsuit,"sports equipment, clothing",microphone,electronic device,cross_subtype
whale,animal,aardvark,animal,within_subtype
wheat,food,microscope,Noun,cross_subtype
wheel,part of car,license_plate,part of car,within_subtype
wheelbarrow,container,microwave,"electronic device, kitchen appliance",cross_subtype
wheelchair,"medical equipment, vehicle",milk,drink,within_subtype
whip,weapon,milkshake,"drink, dessert",cross_subtype
whipped_cream,"food, dessert",caramel,"food, dessert",within_subtype
whisk,kitchen tool,minivan,vehicle,cross_subtype
whistle,musical instrument,french_horn,musical instrument,within_subtype
whiteboard,office supply,mint,"plant, food",cross_subtype
whoopee_cushion,toy,rocking_horse,toy,within_subtype
wick,Name,mirror,home decor,cross_subtype
wig,clothing,tuxedo,clothing,within_subtype
wind_chimes,home decor,missile,weapon,cross_subtype
window,Noun,oil,Noun,within_subtype
windowsill,Noun,mitten,"clothing, clothing accessory",cross_subtype
windshield,part of car,car_door,part of car,within_subtype
windshield_wiper,part of car,mixer,"electronic device, kitchen appliance",cross_subtype
windsock,Noun,mud,Noun,within_subtype
wine,drink,moccasin,clothing,cross_subtype
wine_bottle,container,pitcher,container,within_subtype
wine_cooler,container,modem,electronic device,cross_subtype
wineglass,container,sarcophagus,container,within_subtype
wing,Noun,mold1,container,cross_subtype
wire,Noun,gravel,Noun,within_subtype
wire_cutters,tool,mold2,Noun,cross_subtype
wok,container,cup,container,within_subtype
wolf,animal,money,Noun,cross_subtype
woman,Noun,soap,Noun,within_subtype
wood,Noun,mongoose,animal,cross_subtype
wooden_leg,#N/A,plastic_film,#N/A,within_subtype
workbench,furniture,monkey,animal,cross_subtype
worm,animal,hamster,animal,within_subtype
wrap,food,moose,animal,cross_subtype
wrapping_paper,#N/A,solar_panel,#N/A,within_subtype
wreath,home decor,mop,tool,cross_subtype
wreck,vehicle,forklift,vehicle,within_subtype
wrench,tool,mosquito,"animal, insect",cross_subtype
wrist,body part,hair,body part,within_subtype
xylophone,musical instrument,mosquito_net,#N/A,cross_subtype
yacht,vehicle,carriage,vehicle,within_subtype
yak,animal,moss,plant,cross_subtype
yarn,Noun,book,Noun,within_subtype
yo-yo,toy,moth,"animal, insect",cross_subtype
yogurt,food,dip,food,within_subtype
yoke,Noun,motorcycle,vehicle,cross_subtype
yolk,food,seafood,food,within_subtype
zebra,animal,mouse2,electronic device,cross_subtype
zipper,Noun,granite,Noun,within_subtype
zucchini,"food, vegetable",mousepad,#N/A,cross_subtype
